Feature,Precision_Clase_0,Recall_Clase_0,F1_Clase_0,Precision_Clase_1,Recall_Clase_1,F1_Clase_1,Accuracy,AUC_ROC
+3.5cd8+3.5cd4-3.0cd11b_gr1,0.788095238,0.843166667,0.799076335,0.738,0.639,0.653757143,0.76452381,0.741083333
+4.0cd8+4.0cd4-3.5cd11b_gr1,0.788095238,0.843166667,0.799076335,0.738,0.639,0.653757143,0.76452381,0.741083333
+4.5cd8+4.5cd4-4.0cd11b_gr1,0.788095238,0.843166667,0.799076335,0.738,0.639,0.653757143,0.76452381,0.741083333
+5.0cd8+5.0cd4-4.5cd11b_gr1,0.788095238,0.843166667,0.799076335,0.738,0.639,0.653757143,0.76452381,0.741083333
+5.5cd8+1.0cd4-1.0cd11b_gr1,0.857333333,0.7015,0.748439683,0.649333333,0.780666667,0.683647619,0.734285714,0.741083333
+5.5cd8+5.0cd4-3.0cd11b_gr1,0.8003,0.810666667,0.789220635,0.7213,0.670666667,0.663385714,0.758238095,0.740666667
-5.0cd8-1.0cd4+2.0cd11b_gr1,0.864852381,0.709666667,0.751778932,0.6296,0.771,0.665228571,0.734095238,0.740333333
-2.5cd8-0.5cd4+1.0cd11b_gr1,0.864852381,0.709666667,0.751778932,0.6296,0.771,0.665228571,0.734095238,0.740333333
+2.5cd8+0.5cd4-1.0cd11b_gr1,0.864852381,0.709666667,0.751778932,0.6296,0.771,0.665228571,0.734095238,0.740333333
+5.0cd8+1.0cd4-2.0cd11b_gr1,0.864852381,0.709666667,0.751778932,0.6296,0.771,0.665228571,0.734095238,0.740333333
-4.0cd8-2.0cd4+5.5cd11b_gr1,0.84747619,0.724333333,0.759662482,0.638266667,0.756333333,0.666280952,0.736904762,0.740333333
+4.0cd8+2.0cd4-5.5cd11b_gr1,0.84747619,0.724333333,0.759662482,0.638266667,0.756333333,0.666280952,0.736904762,0.740333333
-5.0cd8-5.0cd4+4.5cd11b_gr1,0.787095238,0.841166667,0.797409668,0.736933333,0.639,0.653090476,0.763380952,0.740083333
-4.5cd8-4.5cd4+4.0cd11b_gr1,0.787095238,0.841166667,0.797409668,0.736933333,0.639,0.653090476,0.763380952,0.740083333
-4.0cd8-4.0cd4+3.5cd11b_gr1,0.787095238,0.841166667,0.797409668,0.736933333,0.639,0.653090476,0.763380952,0.740083333
-3.5cd8-3.5cd4+3.0cd11b_gr1,0.787095238,0.841166667,0.797409668,0.736933333,0.639,0.653090476,0.763380952,0.740083333
-2.0cd8-1.5cd4+4.5cd11b_gr1,0.799866667,0.808333333,0.789206349,0.709233333,0.67,0.658960317,0.755047619,0.739166667
+2.0cd8+1.5cd4-4.5cd11b_gr1,0.799866667,0.808333333,0.789206349,0.709233333,0.67,0.658960317,0.755047619,0.739166667
-6.0cd8-1.0cd4+1.0cd11b_gr1,0.8557,0.6975,0.745609524,0.645666667,0.780666667,0.682219048,0.731809524,0.739083333
-3.0cd8-0.5cd4+0.5cd11b_gr1,0.8557,0.6975,0.745609524,0.645666667,0.780666667,0.682219048,0.731809524,0.739083333
+3.0cd8+0.5cd4-0.5cd11b_gr1,0.8557,0.6975,0.745609524,0.645666667,0.780666667,0.682219048,0.731809524,0.739083333
-5.5cd8-1.0cd4+2.0cd11b_gr1,0.859642857,0.701333333,0.747773593,0.634533333,0.775333333,0.67302381,0.730619048,0.738333333
+4.5cd8+0.5cd4-6.0cd11b_gr1,0.8238,0.751666667,0.768142857,0.6688,0.725,0.669885714,0.742285714,0.738333333
